Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"Ornament
Necklace Set (03
Pieces)",Jewellery/Accessories,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,0,0,Yes,Yes
"One  metallic
vase",Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,2/19/2002,850,0,Yes,Yes
"One  cufflinks
Insignia on it",Jewellery/Accessories,"Minister  for Petroleum  &  Natural
Resources",Gen. Musharraf,2/19/2002,0,0,Yes,Yes
"One  set  of
Cufflinks",Jewellery/Accessories,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization",Gen. Musharraf,2/20/2002,0,0,Auctioned,"Auctioned
for
Rs.150/-"
a.  Statue  of Golden Dragon b. One wall painting,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister for
Finance",Gen. Musharraf,2/26/2002,26200,0,Auctioned,"Auctioned
for
Rs.150/-"
"a.  Cotton  Bed
Spread
b. One Painting",Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/28/2002,1800,0,Yes,Yes
"Electronic  Prayer
Time Calendar",Tech,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/28/2002,8000,0,Yes,Yes
"Metallic  Plate
with  Insignia  of
the  Chinese
Academy  of
Sciences",Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/28/2002,0,0,Yes,Yes
"One  plastic  box
containing  one
carpet",Carpet,"Mr.  Usman  Aminuddin,  Minister  for
Petroleum & Natural Resources",Gen. Musharraf,3/2/2002,13000,450,Yes,Yes
"Jewellary  box
made of silver",Jewellery/Accessories,"Justice  Sh.  Riaz  Ahmad,  Acting
President of Pakistan",Judiciary,3/6/2002,5500,0,Yes,Yes
"Kehwa  set  (24
pcs)",Crockery,"Justice  Sh.  Riaz  Ahmad,  Acting
President of Pakistan",Judiciary,3/6/2002,4500,0,Yes,Yes
One leather bag,Bags,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,3/7/2002,1800,0,Yes,Yes
"One  Jewellery
box",Jewellery/Accessories,"Begum  General  Parvez  Musharraf,
Chief Executive of Pakistan",Military,3/7/2002,1500,0,Yes,Yes
One shield,Weapons,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,3/7/2002,2000,0,Yes,Yes
"One  revolver
clot",Weapons,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,3/7/2002,72000,9300,Yes,Yes
One flower vase,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,3/7/2002,4200,0,Yes,Yes
One photo frame,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,3/7/2002,1500,0,Yes,Yes
One Scenery,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,3/9/2002,1800,0,Yes,Yes
"One  decoration
piece of boat",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,3/13/2002,1500,0,Yes,Yes
"One photo frame
(10x10)",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,3/13/2002,1200,0,Yes,Yes
Cigarettes box,Cigar/Cigarettes,"Minister  for  Commerce,  Industries
and Production",Gen. Musharraf,3/13/2002,2000,0,Yes,Yes
"One  large
wooden  Jewelry
box",Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,3/16/2002,2000,0,Yes,Yes
"One  medal  with
emblem",Jewellery/Accessories,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,3/18/2002,0,0,Yes,Yes
One table clock,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,3/19/2002,2500,0,Yes,Yes
"Pair  of  flower
vase",Decoration Pieces,"Mr.  Nawid  Ahsan,  Secretary,
Economic Affairs Division",Gen. Musharraf,3/19/2002,0,0,Yes,Yes
"One Wrist Watch
Fendi  (Swiss)
(No.016-4500G-
992)",Watch,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,3/22/2002,16000,0,Yes,Yes
"One  small
wooden box with
six  packets  of
tea",Food,"Minister  for  Information  &  Media
Development",Gen. Musharraf,3/22/2002,0,0,Yes,Yes
"a.  One  Wrist
Watches FENDI
b.  One  Wrist
Watches FENDI",Watch,"Mr.  S.  Anwar  Mahmood,  Secretary,
Information and Media Development",Gen. Musharraf,3/26/2002,41000,4650,Yes,Yes
One tea set,Crockery,Foreign Secretary,Gen. Musharraf,3/27/2002,4000,0,Yes,Yes
"One Wrist Watch
Bvlgari",Watch,"Major  General  Nadeem  Taj,  Military
Secretary to President.",Military,3/29/2002,85000,11250,Yes,Yes
"One Wrist Watch
Bvlgari",Watch,"Begum  of  (Major  General,  Nadeem
Taj, Military Secretary to President)",Military,3/29/2002,45000,5250,Yes,Yes
"One  wooden
decoration piece",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,3/29/2002,2000,0,Yes,Yes
One flower vase,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,3/29/2002,2000,0,Yes,Yes
"One  tea  set  (17
pcs)",Crockery,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,3/30/2002,4000,0,Yes,Yes
"One  wrist  watch
Korean Made",Watch,"Mr.  Justice  Muhammad  Bashir
Jehangiri,  Wafaqi  Mohtasib
(Ombudsman)",Judiciary,3/30/2002,4000,0,Yes,Yes
"One  Korean
Traditional
wooden Box",Decoration Pieces,"Mr.  Justice  Muhammad  Bashir
Jehangiri,  Wafaqi  Mohtasib
(Ombudsman)",Judiciary,3/30/2002,1000,0,Yes,Yes
"One  gift  of
flower  vase
(white  china
clay)",Decoration Pieces,"Mr.  Imtiaz  Ahmed  Sahibzada,
Hon’ble Wafaqi Mohtasib",Bureaucracy,3/30/2002,800,0,Yes,Yes
"One  Cassette
Recorder",Tech,"Minister  Petroleum  &  Natural
Resources",Gen. Musharraf,4/1/2002,2500,0,Yes,Yes
One pen,Pen,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,2500,0,Yes,Yes
One  Jewellery box (porcelain),Jewellery/Accessories,"General  Parvez  Musharraf, ""President/  Chief  Executive  of
Pakistan""",Military,4/3/2002,3000,0,Yes,Yes
"Decoration  piece
(Ceramic Horse)",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,2000,0,Yes,Yes
Flower vase,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,1000,0,Yes,Yes
"One  Book  &  Pen
tray (Ceramic)",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,450,0,Yes,Yes
One tie,Clothes,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,650,0,Yes,Yes
"One  Decoration
piece",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,2000,0,Yes,Yes
"a. One book
b.  One  Jewellary
box
c.  Insignia
House  of
Councilors",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,1500,0,Yes,Yes
"One  picture  of
Budha  duly
framed",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,1200,0,Yes,Yes
"One  box  Cohiba
cigars",Cigar/Cigarettes,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,1250,0,Yes,Yes
"One  wooden  ball
with hammer",Decoration Pieces,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,100,0,Yes,Yes
"One  book  &  one
Calendar",Decoration Pieces,"Begum  General  Pervez  Musharraf,
President/  Chief  Executive  of pakistan",Military,4/3/2002,0,0,Yes,Yes
"a. One book
b.  One
handkerchief",,"Begum  General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,4/3/2002,70,0,Yes,Yes
One glass vase,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,4/8/2002,800,0,Yes,Yes
One Cigar Box,Cigar/Cigarettes,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,4/9/2002,400,0,Yes,Yes
One shawl,Clothes,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,4/9/2002,700,0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Brig. Nadeem Taj, Military Secretary
to Chief Executive",Military,4/9/2002,400,0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Lt.  Col.  Mirza  Kamran  Zia,  Deputy
Military Secretary to Chief Executive",Military,4/9/2002,400,0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Lt.  Col.  Muhammad  Ilyas,  Chief
Security Officer to Chief Executive",Military,4/9/2002,400,0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Major  Asad  Farooq,  Security  Officer
to Chief Executive",Military,4/9/2002,400,0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Hav. M. Makeem, Gunman",Military,4/9/2002,400,0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Hav. M. Shaukat, Gunman",Military,4/9/2002,400,0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/NK M. Aslam,Military,4/9/2002,400,0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/NK M. Yousaf,Military,4/9/2002,400,0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/ NK Daud Rehman,Military,4/9/2002,400,0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/NK Muhammad Asghar,Military,4/9/2002,400,0,Yes,Yes
One shawl,Clothes,"Ms.  Saadia  Altaf  Qazi,  Protocol
Officer  (V-I)  Ministry  of  Foreign
Affairs",Bureaucracy,4/10/2002,0,0,Yes,Yes
"One  painting  of
China Great Wall",Decoration Pieces,"Mr.  Ahmad  Waqar,  Secretary,
Privatization,  Privatization
Commission",Bureaucracy,4/10/2002,650,0,Yes,Yes
"One  digital
calendar  (pocket
size)",Tech,"Director  General  (B&U),  Ministry  of
Privatization,  Privatization
Commission ",Bureaucracy,4/10/2002,1000,0,Yes,Yes
"One  Blue  Onyx
Bowl",Decoration Pieces,"Minister  for  Information  &  Media
Development",Gen. Musharraf,4/10/2002,500,0,Retained.,Retained.
"One  Woolen
Shawl",Clothes,"Minister  for  Information  &  Media
Development",Gen. Musharraf,4/10/2002,0,0,Retained.,Retained.
"One  handmade
carpet",Carpet,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,4/11/2002,18000,1200,Yes,Yes
"Handmade
Embroidery  of
Bangladesh
depicting  two
women on Cloth",Clothes,"Mr.  M.  Yaqoob  Malik,  Chief
Coordinating Officer, SAARC, Human
Resources Development Centre",Bureaucracy,4/12/2002,0,0,Auctioned,"Auctioned
for
Rs.1,150/-"
"One crystal glass
vase",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,4/15/2002,1500,0,Yes,Yes
Tea set (08 pcs),Crockery,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,4/15/2002,650,0,Yes,Yes
One time piece,Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,4/15/2002,2200,0,Yes,Yes
"One  Ball  Pen
(Caran d Ache",Pen,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Bureaucracy,4/18/2002,1200,0,Yes,Yes
One Bras Plate,Decoration Pieces,"Mr.  Nawid  Ahsan,  Secretary,
Economic Affairs Division",Bureaucracy,4/18/2002,0,0,Yes,Yes
"One  decoration
piece  of  Metallic
plate",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,4/19/2002,0,0,Yes,Yes
One crystal bowl,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,4/19/2002,2800,0,Yes,Yes
"One  Jewellary
box  (made  of
Lipazic)",Jewellery/Accessories,"Minister  for  Commerce,  Industries
and Production",Gen. Musharraf,4/20/2002,400,0,Yes,Yes
One cutlery set,Crockery,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,4/23/2002,8000,0,Yes,Yes
"One  Short  Gun
12-Bore  (7  Shot
Pump  action
Daud  Sons
Armory)",Weapons,Minister for Commerce,Gen. Musharraf,4/30/2002,6800,0,Auctioned,"Auctioned
for
Rs.14,000/-"
Two ball pens,Pen,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,5/3/2002,1600,0,Yes,Yes
"One  decoration
Piece",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,5/3/2002,1100,0,Yes,Yes
"Two  large
wooden  chess
Box",Decoration Pieces,"Mr.  Shaukat  Aziz, Minister  for
Finance",Gen. Musharraf,5/6/2002,3500,0,Yes,Yes
"Wooden
Decoration piece",Decoration Pieces,"Secretary  Planning  &  Development
Division",Bureaucracy,5/6/2002,0,0,Auctioned,"Auctioned
for
Rs.1,210/-"
"Crystal
decoration piece",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,5/13/2002,1300,0,Yes,Yes
"One  Video
Player  (Shinko
DVD)",Tech,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,5/16/2002,0,0,Yes,Yes
Bank Souvenir,,"Mr.  Nawid  Ahsan,  Secretary,
Economic Affairs Division",Gen. Musharraf,5/17/2002,0,0,Yes,Yes
"One  DVD  Set
with speakers",Tech,"Mr.  Inam-ul-Haque,  Foreign
Secretary, M/o Foreign Affairs",Gen. Musharraf,5/18/2002,11300,195,Yes,Yes
"One  decoration
piece",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,5/29/2002,2300,0,Yes,Yes
"a.  One  pocket
watch
b. One carpet",Watch,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Gen. Musharraf,5/31/2002,10500,75,Yes,Yes
"One  coffee
machine",Tech,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Gen. Musharraf,5/31/2002,11500,225,Yes,Yes
"One  mantle
(trophy shape)",Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,6/1/2002,1600,0,Yes,Yes
One carpet,Carpet,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,6/4/2002,7000,0,Yes,Yes
One carpet,Carpet,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,6/4/2002,7000,0,Yes,Yes
"One decoration
piece",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,6/6/2002,3200,0,Yes,Yes
One Carpet,Carpet,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,6/6/2002,7000,0,Yes,Yes
One carpet,Carpet,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,6/6/2002,10000,0,Yes,Yes
"One  table  set
(table  watch,
key  ring,  slip
pad,  cutter  and
pen etc)",Watch,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,6/6/2002,3500,0,Auctioned,"Auctioned
for
Rs.2,000/-"
"Desk  Set  (table
watch,  key  ring,
slip  pad,  cutter
and pen etc)",Watch,"Mr.  Khalid  Siraj,  Senior,  Adviser  to
Finance Minister",Gen. Musharraf,6/7/2002,3500,0,Auctioned,"Auctioned
for
Rs.1,505/-"
"a.  One  Wrist
watch  Daewoo
gents
b.  One  Wrist
watch  Daewoo
ladies",Watch,"Dr.  Waqar  Masood  Khan,  Additional
Finance Secretary (EF/Policy)",Bureaucracy,6/10/2002,3000,0,Yes,Yes
One flower vase,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,6/10/2002,13000,450,Yes,Yes
One Holy Quran,Decoration Pieces,"General Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,6/10/2002,0,0,Yes,Yes
"One  golden
piece  of  golden
horse",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Bureaucracy,6/13/2002,3200,0,Yes,Yes
"a. One brief case
having: -
b.  One  wrist
watch gents
c. One  ladies
wrist watch
d.  One  pen  in
white gold
e.  Pair  of  ear
studs
f. One tasbih",Watch,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Bureaucracy,6/13/2002,170000,24000,Yes,Yes
"a.  One
decoration piece
b.  One  Ladies
Suit pieces",Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,6/14/2002,2850,0,Yes,Yes
"One  jewellery
box",Jewellery/Accessories,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,6/14/2002,4300,0,Yes,Yes
"One  revolver
colt 44 cal",Weapons,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,6/14/2002,72000,9300,Yes,Yes
"One  Wrist  watch
Daewoo gents",Watch,"Mr. M.  Mumtaz  Malik,  Deputy
Secretary (EFB)",Bureaucracy,6/15/2002,1500,0,Yes,Yes
"One  Wrist  watch
Daewoo gents",Watch,"Mr.  Muhammad  Jameel,  Section
Officer",Bureaucracy,6/15/2002,1500,0,Yes,Yes
Model  of  Golden,Watch,Minister  for  Kashmir  Affairs  and,Gen. Musharraf,6/17/2002,5500,0,Yes,Yes
Golden Coin,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,6/20/2002,9170,0,Auctioned,"Auctioned
for
Rs.18,312/-"
Coin (silver),Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,6/20/2002,600,0,Auctioned,"Auctioned
for
Rs.1,311/-"
FAO Souvenir,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,6/20/2002,310,0,Auctioned,"Auctioned
for
Rs.333/-"
Proof Coin Set,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,6/20/2002,500,0,Auctioned,"Auctioned
for
Rs.1,701/-"
Parker Pen Set,Pen,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,6/20/2002,3000,0,Auctioned,"Auctioned
for
Rs.4,210/-"
"Dewaruci
Indonesia  (Sail-
ship  Decoration
Piece)",Decoration Pieces,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,6/20/2002,1400,0,"Displayed
at
Presidency","Displayed
at
Presidency"
Plaque,Decoration Pieces,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,6/20/2002,1200,0,Auctioned,"Auctioned
for
Rs.1,820/-"
Box,,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,6/20/2002,450,0,Auctioned,"Auctioned
for
Rs.820/-"
Plaque,Decoration Pieces,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,6/20/2002,1500,0,Auctioned,"Auctioned
for
Rs.411/-"
"Wrist  Watch
Concord",Watch,"Mr.  S.  Anwar  Mahmood,  Secy,
Information  and  Media
Development.",Bureaucracy,6/21/2002,0,9750,Yes,Yes
"One  model  of
Masjid-e- Nabvi",Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,7/3/2002,60000,7500,Yes,Yes
"a. One Cigar box
b.  One  ladies
purse",Cigar/Cigarettes,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,7/3/2002,4500,0,Yes,Yes
"One  bowl
(copper)",Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,7/3/2002,5500,0,Yes,Yes
"One  decoration
piece",Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,7/3/2002,12000,300,Yes,Yes
"Two  empty
wooden
Jewellery boxes",Jewellery/Accessories,"Chief of Protocol and Deputy Chief
Protocol Ministry of Foreign Affairs",Military,7/4/2002,0,0,Yes,Yes
"a.  One  statue  of
soldier
b.  One  leather
bag
c.  One  silver
coin
d.  One  jewelry
box",,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,7/5/2002,25125,2269,Yes,Yes
"One  hand  bag
with ball pen",Pen,"General  Nadeem  Taj,  Military
Secretary to Chief Executive",Military,7/5/2002,2200,0,Yes,Yes
One hand bag,Bags,"Lt.  Col.  Muhammad  Arshad,  Chief
Security  Officer  to  the  Chief
Executive",Military,7/5/2002,300,0,Yes,Yes
One hand bag,Bags,"Major Syed Tanveer Ali ADC to Chief
Executive",Military,7/5/2002,300,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr.  Javed  A.  Qureshi,  Joint
Secretary  (B),  Chief  Executive
Secretariat",Bureaucracy,7/7/2002,75000,9750,Yes,Yes
"One  Lacqure  Art
box",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,7/15/2002,1000,0,Yes,Yes
"One  tea  set  (24
pcs)",Crockery,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,7/22/2002,3000,0,Yes,Yes
"One wooden box
show piece",Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,7/22/2002,1000,0,Auctioned,"Auctioned
for
Rs.1,015/-"
"Wrist  Watch
(Concord)",Watch,"Brig. (Retd) Mian Khalid Habib, Chief
of Protocol, Foreign Affairs",Military,7/23/2002,75000,9750,Yes,Yes
"One  Tea  set  (14
pcs)",Crockery,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,7/25/2002,3000,0,Yes,Yes
"a.  Satellite
Phone  set  with
GSM+GPS
b.  One  Souvenir
(Eagle)",Phone,"Dr. Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,7/25/2002,29000,3300,Yes,Yes
"a. One  Books
“Sons  and
Lovers  by
D.H.
Lawrence
b. One  Book
“Villete”  by
Charlotte
Bronte",,"Mr.  Akhtar  Said  Minister  for
Education,  Government  of  the
Punjab",Gen. Musharraf,7/25/2002,2200,0,"Displayed
at Cabinet
Division’s
Library","Displayed
at Cabinet
Division’s
Library"
"One  Souvenir
(Lacquer  ware,
double  Jewelry
Box)",Jewellery/Accessories,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,7/26/2002,800,0,Auctioned,"Auctioned
for
Rs.1,659/-"
"Candy  Box
(green)  (Candy
Pot)",,"Mr.  Khair  Mohamed  Janejo,  Minister
Food, Agriculture and Live Stock",Gen. Musharraf,7/27/2002,0,0,Yes,Yes
Decoration plate,Decoration Pieces,"Mr.  Khair  Mohamed  Janejo,  Minister
Food, Agriculture and Live Stock",Gen. Musharraf,7/27/2002,0,0,Yes,Yes
"One  printed
jewelry box",Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,8/6/2002,2000,0,Yes,Yes
Three books,,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,8/8/2002,2400,0,Yes,Yes
One painting,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,8/8/2002,3000,0,Yes,Yes
