,Gift_detail,Item_category,Recipient_name,Affiliation,Date,Assessed_value,Retention_cost,Retained,Remarks
38,One Scenery,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-03-09,1800.0,0.0,Yes,Yes
39,One  decoration piece of boat,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for Finance",Gen. Musharraf,2002-03-13,1500.0,0.0,Yes,Yes
40,One photo frame (10x10),Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for Finance",Gen. Musharraf,2002-03-13,1200.0,0.0,Yes,Yes
41,Cigarettes box,Cigar/Cigarettes,"Minister  for  Commerce,  Industries and Production",Gen. Musharraf,2002-03-13,2000.0,0.0,Yes,Yes
42,One  large wooden  Jewelry box,Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Minister  for Finance",Gen. Musharraf,2002-03-16,2000.0,0.0,Yes,Yes
43,One  medal  with emblem,Jewellery/Accessories,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-03-18,0.0,0.0,Yes,Yes
44,One table clock,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-03-19,2500.0,0.0,Yes,Yes
45,Pair  of  flower vase,Decoration Pieces,"Mr.  Nawid  Ahsan,  Secretary, Economic Affairs Division",Gen. Musharraf,2002-03-19,0.0,0.0,Yes,Yes
46,One Wrist Watch Fendi  (Swiss) (No.016-4500G- 992),Watch,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-03-22,16000.0,0.0,Yes,Yes
47,One  small wooden box with six  packets  of tea,Food,Minister  for  Information  &  Media Development,Gen. Musharraf,2002-03-22,0.0,0.0,Yes,Yes
48,a.  One  Wrist Watches FENDI b.  One  Wrist Watches FENDI,Watch,"Mr.  S.  Anwar  Mahmood,  Secretary, Information and Media Development",Gen. Musharraf,2002-03-26,41000.0,4650.0,Yes,Yes
49,One tea set,Crockery,Foreign Secretary,Gen. Musharraf,2002-03-27,4000.0,0.0,Yes,Yes
50,One Wrist Watch Bvlgari,Watch,"Major  General  Nadeem  Taj,  Military Secretary to President.",Military,2002-03-29,85000.0,11250.0,Yes,Yes
51,One Wrist Watch Bvlgari,Watch,"Begum  of  (Major  General,  Nadeem Taj, Military Secretary to President)",Military,2002-03-29,45000.0,5250.0,Yes,Yes
52,One  wooden decoration piece,Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-03-29,2000.0,0.0,Yes,Yes
53,One flower vase,Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-03-29,2000.0,0.0,Yes,Yes
54,One  tea  set  (17 pcs),Crockery,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-03-30,4000.0,0.0,Yes,Yes
55,One  wrist  watch Korean Made,Watch,"Mr.  Justice  Muhammad  Bashir Jehangiri,  Wafaqi  Mohtasib (Ombudsman)",Judiciary,2002-03-30,4000.0,0.0,Yes,Yes
56,One  Korean Traditional wooden Box,Decoration Pieces,"Mr.  Justice  Muhammad  Bashir Jehangiri,  Wafaqi  Mohtasib (Ombudsman)",Judiciary,2002-03-30,1000.0,0.0,Yes,Yes
57,One  gift  of flower  vase (white  china clay),Decoration Pieces,"Mr.  Imtiaz  Ahmed  Sahibzada, Hon’ble Wafaqi Mohtasib",Bureaucracy,2002-03-30,800.0,0.0,Yes,Yes
58,One  Cassette Recorder,Tech,Minister  Petroleum  &  Natural Resources,Gen. Musharraf,2002-04-01,2500.0,0.0,Yes,Yes
59,One pen,Pen,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,2500.0,0.0,Yes,Yes
60,One  Jewellery box (porcelain),Jewellery/Accessories,"General  Parvez  Musharraf, ""President/  Chief  Executive  of Pakistan""",Military,2002-04-03,3000.0,0.0,Yes,Yes
61,Decoration  piece (Ceramic Horse),Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,2000.0,0.0,Yes,Yes
62,Flower vase,Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,1000.0,0.0,Yes,Yes
63,One  Book  &  Pen tray (Ceramic),Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,450.0,0.0,Yes,Yes
64,One tie,Clothes,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,650.0,0.0,Yes,Yes
65,One  Decoration piece,Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,2000.0,0.0,Yes,Yes
66,a. One book b.  One  Jewellary box c.  Insignia House  of Councilors,Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,1500.0,0.0,Yes,Yes
67,One  picture  of Budha  duly framed,Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,1200.0,0.0,Yes,Yes
68,One  box  Cohiba cigars,Cigar/Cigarettes,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,1250.0,0.0,Yes,Yes
69,One  wooden  ball with hammer,Decoration Pieces,"Begum  General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-04-03,100.0,0.0,Yes,Yes
70,One  book  &  one Calendar,Decoration Pieces,"Begum  General  Pervez  Musharraf, President/  Chief  Executive  of pakistan",Military,2002-04-03,0.0,0.0,Yes,Yes
72,One glass vase,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-04-08,800.0,0.0,Yes,Yes
73,One Cigar Box,Cigar/Cigarettes,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-04-09,400.0,0.0,Yes,Yes
74,One shawl,Clothes,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-04-09,700.0,0.0,Yes,Yes
75,Jewellery box,Jewellery/Accessories,"Brig. Nadeem Taj, Military Secretary to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
76,Jewellery box,Jewellery/Accessories,"Lt.  Col.  Mirza  Kamran  Zia,  Deputy Military Secretary to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
77,Jewellery box,Jewellery/Accessories,"Lt.  Col.  Muhammad  Ilyas,  Chief Security Officer to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
78,Jewellery box,Jewellery/Accessories,"Major  Asad  Farooq,  Security  Officer to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
79,Jewellery box,Jewellery/Accessories,"Hav. M. Makeem, Gunman",Military,2002-04-09,400.0,0.0,Yes,Yes
80,Jewellery box,Jewellery/Accessories,"Hav. M. Shaukat, Gunman",Military,2002-04-09,400.0,0.0,Yes,Yes
81,Jewellery box,Jewellery/Accessories,L/NK M. Aslam,Military,2002-04-09,400.0,0.0,Yes,Yes
82,Jewellery box,Jewellery/Accessories,L/NK M. Yousaf,Military,2002-04-09,400.0,0.0,Yes,Yes
83,Jewellery box,Jewellery/Accessories,L/ NK Daud Rehman,Military,2002-04-09,400.0,0.0,Yes,Yes
84,Jewellery box,Jewellery/Accessories,L/NK Muhammad Asghar,Military,2002-04-09,400.0,0.0,Yes,Yes
85,One shawl,Clothes,"Ms.  Saadia  Altaf  Qazi,  Protocol Officer  (V-I)  Ministry  of  Foreign Affairs",Bureaucracy,2002-04-10,0.0,0.0,Yes,Yes
86,One  painting  of China Great Wall,Decoration Pieces,"Mr.  Ahmad  Waqar,  Secretary, Privatization,  Privatization Commission",Bureaucracy,2002-04-10,650.0,0.0,Yes,Yes
87,One  digital calendar  (pocket size),Tech,"Director  General  (B&U),  Ministry  of Privatization,  Privatization Commission ",Bureaucracy,2002-04-10,1000.0,0.0,Yes,Yes
88,One  Blue  Onyx Bowl,Decoration Pieces,Minister  for  Information  &  Media Development,Gen. Musharraf,2002-04-10,500.0,0.0,Retained.,Retained.
89,One  Woolen Shawl,Clothes,Minister  for  Information  &  Media Development,Gen. Musharraf,2002-04-10,0.0,0.0,Retained.,Retained.
90,One  handmade carpet,Carpet,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-04-11,18000.0,1200.0,Yes,Yes
91,Handmade Embroidery  of Bangladesh depicting  two women on Cloth,Clothes,"Mr.  M.  Yaqoob  Malik,  Chief Coordinating Officer, SAARC, Human Resources Development Centre",Bureaucracy,2002-04-12,0.0,0.0,Auctioned,"Auctioned for Rs.1,150/-"
92,One crystal glass vase,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-04-15,1500.0,0.0,Yes,Yes
93,Tea set (08 pcs),Crockery,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-04-15,650.0,0.0,Yes,Yes
94,One time piece,Decoration Pieces,Minister  for  Petroleum  &  Natural Resources,Gen. Musharraf,2002-04-15,2200.0,0.0,Yes,Yes
95,One  Ball  Pen (Caran d Ache,Pen,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Bureaucracy,2002-04-18,1200.0,0.0,Yes,Yes
96,One Bras Plate,Decoration Pieces,"Mr.  Nawid  Ahsan,  Secretary, Economic Affairs Division",Bureaucracy,2002-04-18,0.0,0.0,Yes,Yes
97,One  decoration piece  of  Metallic plate,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-04-19,0.0,0.0,Yes,Yes
98,One crystal bowl,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-04-19,2800.0,0.0,Yes,Yes
99,One  Jewellary box  (made  of Lipazic),Jewellery/Accessories,"Minister  for  Commerce,  Industries and Production",Gen. Musharraf,2002-04-20,400.0,0.0,Yes,Yes
100,One cutlery set,Crockery,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-04-23,8000.0,0.0,Yes,Yes
101,One  Short  Gun 12-Bore  (7  Shot Pump  action Daud  Sons Armory),Weapons,Minister for Commerce,Gen. Musharraf,2002-04-30,6800.0,0.0,Auctioned,"Auctioned for Rs.14,000/-"
102,Two ball pens,Pen,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-05-03,1600.0,0.0,Yes,Yes
103,One  decoration Piece,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-05-03,1100.0,0.0,Yes,Yes
104,Two  large wooden  chess Box,Decoration Pieces,"Mr.  Shaukat  Aziz, Minister  for Finance",Gen. Musharraf,2002-05-06,3500.0,0.0,Yes,Yes
105,Wooden Decoration piece,Decoration Pieces,Secretary  Planning  &  Development Division,Bureaucracy,2002-05-06,0.0,0.0,Auctioned,"Auctioned for Rs.1,210/-"
106,Crystal decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for Finance",Gen. Musharraf,2002-05-13,1300.0,0.0,Yes,Yes
107,One  Video Player  (Shinko DVD),Tech,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-05-16,0.0,0.0,Yes,Yes
109,One  DVD  Set with speakers,Tech,"Mr.  Inam-ul-Haque,  Foreign Secretary, M/o Foreign Affairs",Gen. Musharraf,2002-05-18,11300.0,195.0,Yes,Yes
110,One  decoration piece,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-05-29,2300.0,0.0,Yes,Yes
111,a.  One  pocket watch b. One carpet,Watch,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Gen. Musharraf,2002-05-31,10500.0,75.0,Yes,Yes
112,One  coffee machine,Tech,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Gen. Musharraf,2002-05-31,11500.0,225.0,Yes,Yes
113,One  mantle (trophy shape),Decoration Pieces,Minister  for  Petroleum  &  Natural Resources,Gen. Musharraf,2002-06-01,1600.0,0.0,Yes,Yes
114,One carpet,Carpet,Minister  for  Petroleum  &  Natural Resources,Gen. Musharraf,2002-06-04,7000.0,0.0,Yes,Yes
115,One carpet,Carpet,Minister  for  Petroleum  &  Natural Resources,Gen. Musharraf,2002-06-04,7000.0,0.0,Yes,Yes
116,One decoration piece,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-06-06,3200.0,0.0,Yes,Yes
117,One Carpet,Carpet,"Mr.  Abdul  Sattar,  Minister  for Foreign Affairs",Gen. Musharraf,2002-06-06,7000.0,0.0,Yes,Yes
118,One carpet,Carpet,"Mr.  Shaukat  Aziz,  Minister  for Finance",Gen. Musharraf,2002-06-06,10000.0,0.0,Yes,Yes
119,"One  table  set (table  watch, key  ring,  slip pad,  cutter  and pen etc)",Watch,"Mr.  Shaukat  Aziz,  Minister  for Finance",Gen. Musharraf,2002-06-06,3500.0,0.0,Auctioned,"Auctioned for Rs.2,000/-"
120,"Desk  Set  (table watch,  key  ring, slip  pad,  cutter and pen etc)",Watch,"Mr.  Khalid  Siraj,  Senior,  Adviser  to Finance Minister",Gen. Musharraf,2002-06-07,3500.0,0.0,Auctioned,"Auctioned for Rs.1,505/-"
121,a.  One  Wrist watch  Daewoo gents b.  One  Wrist watch  Daewoo ladies,Watch,"Dr.  Waqar  Masood  Khan,  Additional Finance Secretary (EF/Policy)",Bureaucracy,2002-06-10,3000.0,0.0,Yes,Yes
122,One flower vase,Decoration Pieces,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-06-10,13000.0,450.0,Yes,Yes
123,One Holy Quran,Decoration Pieces,"General Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-06-10,0.0,0.0,Yes,Yes
124,One  golden piece  of  golden horse,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for Finance",Bureaucracy,2002-06-13,3200.0,0.0,Yes,Yes
125,a. One brief case having: - b.  One  wrist watch gents c. One  ladies wrist watch d.  One  pen  in white gold e.  Pair  of  ear studs f. One tasbih,Watch,"Mr.  Shaukat  Aziz,  Minister  for Finance",Bureaucracy,2002-06-13,170000.0,24000.0,Yes,Yes
126,a.  One decoration piece b.  One  Ladies Suit pieces,Decoration Pieces,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-06-14,2850.0,0.0,Yes,Yes
127,One  jewellery box,Jewellery/Accessories,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-06-14,4300.0,0.0,Yes,Yes
128,One  revolver colt 44 cal,Weapons,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-06-14,72000.0,9300.0,Yes,Yes
129,One  Wrist  watch Daewoo gents,Watch,"Mr. M.  Mumtaz  Malik,  Deputy Secretary (EFB)",Bureaucracy,2002-06-15,1500.0,0.0,Yes,Yes
130,One  Wrist  watch Daewoo gents,Watch,"Mr.  Muhammad  Jameel,  Section Officer",Bureaucracy,2002-06-15,1500.0,0.0,Yes,Yes
131,Model  of  Golden,Watch,Minister  for  Kashmir  Affairs  and,Gen. Musharraf,2002-06-17,5500.0,0.0,Yes,Yes
132,Golden Coin,Jewellery/Accessories,Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs since long),Gen. Musharraf,2002-06-20,9170.0,0.0,Auctioned,"Auctioned for Rs.18,312/-"
133,Coin (silver),Jewellery/Accessories,Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs since long),Gen. Musharraf,2002-06-20,600.0,0.0,Auctioned,"Auctioned for Rs.1,311/-"
134,FAO Souvenir,Jewellery/Accessories,Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs since long),Gen. Musharraf,2002-06-20,310.0,0.0,Auctioned,Auctioned for Rs.333/-
135,Proof Coin Set,Jewellery/Accessories,Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs since long),Gen. Musharraf,2002-06-20,500.0,0.0,Auctioned,"Auctioned for Rs.1,701/-"
136,Parker Pen Set,Pen,Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs since long),Gen. Musharraf,2002-06-20,3000.0,0.0,Auctioned,"Auctioned for Rs.4,210/-"
137,Dewaruci Indonesia  (Sail- ship  Decoration Piece),Decoration Pieces,Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs since long),Gen. Musharraf,2002-06-20,1400.0,0.0,Displayed at Presidency,Displayed at Presidency
138,Plaque,Decoration Pieces,Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs since long),Gen. Musharraf,2002-06-20,1200.0,0.0,Auctioned,"Auctioned for Rs.1,820/-"
140,Plaque,Decoration Pieces,Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs since long),Gen. Musharraf,2002-06-20,1500.0,0.0,Auctioned,Auctioned for Rs.411/-
141,Wrist  Watch Concord,Watch,"Mr.  S.  Anwar  Mahmood,  Secy, Information  and  Media Development.",Bureaucracy,2002-06-21,0.0,9750.0,Yes,Yes
142,One  model  of Masjid-e- Nabvi,Decoration Pieces,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-07-03,60000.0,7500.0,Yes,Yes
143,a. One Cigar box b.  One  ladies purse,Cigar/Cigarettes,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-07-03,4500.0,0.0,Yes,Yes
144,One  bowl (copper),Decoration Pieces,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-07-03,5500.0,0.0,Yes,Yes
145,One  decoration piece,Decoration Pieces,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-07-03,12000.0,300.0,Yes,Yes
146,Two  empty wooden Jewellery boxes,Jewellery/Accessories,Chief of Protocol and Deputy Chief Protocol Ministry of Foreign Affairs,Military,2002-07-04,0.0,0.0,Yes,Yes
148,One  hand  bag with ball pen,Pen,"General  Nadeem  Taj,  Military Secretary to Chief Executive",Military,2002-07-05,2200.0,0.0,Yes,Yes
149,One hand bag,Bags,"Lt.  Col.  Muhammad  Arshad,  Chief Security  Officer  to  the  Chief Executive",Military,2002-07-05,300.0,0.0,Yes,Yes
150,One hand bag,Bags,Major Syed Tanveer Ali ADC to Chief Executive,Military,2002-07-05,300.0,0.0,Yes,Yes
151,Wrist  Watch (Concord),Watch,"Mr.  Javed  A.  Qureshi,  Joint Secretary  (B),  Chief  Executive Secretariat",Bureaucracy,2002-07-07,75000.0,9750.0,Yes,Yes
152,One  Lacqure  Art box,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for Finance",Gen. Musharraf,2002-07-15,1000.0,0.0,Yes,Yes
153,One  tea  set  (24 pcs),Crockery,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-07-22,3000.0,0.0,Yes,Yes
154,One wooden box show piece,Decoration Pieces,Minister  for  Petroleum  &  Natural Resources,Gen. Musharraf,2002-07-22,1000.0,0.0,Auctioned,"Auctioned for Rs.1,015/-"
155,Wrist  Watch (Concord),Watch,"Brig. (Retd) Mian Khalid Habib, Chief of Protocol, Foreign Affairs",Military,2002-07-23,75000.0,9750.0,Yes,Yes
156,One  Tea  set  (14 pcs),Crockery,"Mr.  Shaukat  Aziz,  Minister  for Finance",Gen. Musharraf,2002-07-25,3000.0,0.0,Yes,Yes
157,a.  Satellite Phone  set  with GSM+GPS b.  One  Souvenir (Eagle),Phone,"Dr. Atta-ur-Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-07-25,29000.0,3300.0,Yes,Yes
159,"One  Souvenir (Lacquer  ware, double  Jewelry Box)",Jewellery/Accessories,"Dr.  Atta-ur-Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-07-26,800.0,0.0,Auctioned,"Auctioned for Rs.1,659/-"
161,Decoration plate,Decoration Pieces,"Mr.  Khair  Mohamed  Janejo,  Minister Food, Agriculture and Live Stock",Gen. Musharraf,2002-07-27,0.0,0.0,Yes,Yes
162,One  printed jewelry box,Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Minister  for Finance",Gen. Musharraf,2002-08-06,2000.0,0.0,Yes,Yes
164,One painting,Decoration Pieces,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-08-08,3000.0,0.0,Yes,Yes
165,One  decoration piece,Decoration Pieces,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-08-10,1800.0,0.0,Yes,Yes
166,One box of tea,Food,"General  Parvez Musharraf, President / Chief Executive of Pakistan",Military,2002-08-10,400.0,0.0,Yes,Yes
167,a. One necklace b. One saree,Jewellery/Accessories,"Begum  General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-08-10,7000.0,0.0,Yes,Yes
168,One saree,Clothes,"Begum  General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-08-10,1500.0,0.0,Yes,Yes
169,One  piece  of cloth  with dupata,Clothes,"Begum  General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-08-10,1000.0,0.0,Yes,Yes
170,One saree,Clothes,"Begum  General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-08-10,1500.0,0.0,Yes,Yes
